,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,112,147,521,8927.405109375,39242.484375,3395288.87775,3.395732454640151,2020-05-26,2021-06-04,374 days
1,-112,521,613,39163.99940625,50009.32421875,-1214676.3790000002,-0.276920768484366,2021-06-04,2021-09-04,92 days
2,63,613,733,50109.3428671875,47680.92578125,-152990.27641406254,-0.048462361447722646,2021-09-04,2022-01-02,120 days
3,-63,733,987,47585.5639296875,20158.671875,1727894.1994453126,0.5763700120316639,2022-01-02,2022-09-14,255 days
